Test Result UID,Sample Name,Sample Type,Test Time,Receival Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,delta-9 CBG-A,delta-9 CBG,CBG-A,CBG,CBC,Moisture Content
WB3msSSaMiabLawmc,Grape 47,Concentrate,2017-11-15,2017-11-15,60,0.0,0.0,NaN,NaN,NaN,0.0,0.06,0.0,0.0,0.0,0.15,0.0,0.19,0.0,0.03,0.13,0.2,0.14,0.0,0.6,0.82,0.1,0.04,0.29,0.0,0.0,NaN,4.15,0.01,82.82,0.01,0.01,0.77,0.01,NaN,NaN,3.03,0.36,0.14,NaN
WB3zJEPW6P5ToiCzg,Goji -LR,Concentrate,2017-07-29,2017-07-29,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.11,0.0,0.0,0.0,0.09,0.0,0.59,0.0,0.08,0.06,0.15,0.29,0.02,0.44,0.35,0.11,0.13,1.79,0.0,0.0,NaN,1.28,0.01,84.83,0.01,0.01,0.99,0.01,NaN,NaN,2.7,0.01,0.01,NaN
WBJd82ein3pa8B9Hg,Purple Punch 011018-07,Concentrate,2018-03-26,2018-03-26,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.19,0.0,0.0,0.0,0.33,0.0,0.88,0.0,0.12,0.15,0.47,0.75,0.0,0.78,1.39,0.81,0.24,3.08,0.05,0.0,NaN,23.19,0.01,40.53,0.31,0.01,1.2,0.01,NaN,NaN,1.47,0.51,0.16,NaN
WCuAbbrjTu6MEs482,Mendo Milk - LRB,Concentrate,2016-02-24,2016-02-23,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.02,0.05,0.56,0.09,0.0,1.27,0.18,0.02,0.04,0.47,0.0,0.0,NaN,56.5,NaN,NaN,0.1,0.08,NaN,0.01,NaN,NaN,NaN,2.27,0.08,NaN
WG5niuwsa9gY4cWub,Goji Skunk- LR,Concentrate,2017-12-19,2017-12-19,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.11,0.0,0.0,0.0,0.08,0.0,0.32,0.0,0.37,0.0,0.2,0.24,0.06,0.39,0.57,0.31,0.15,1.39,0.04,0.0,NaN,1.6,0.01,86.01,0.01,0.01,0.92,0.01,NaN,NaN,3.43,0.61,0.01,NaN
WGMjA7rrdNmkphzLu,Gorilla Glue - LRB,Concentrate,2016-01-02,2015-12-31,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.04,0.03,0.3,0.09,0.01,0.64,0.62,0.01,0.0,0.57,0.0,0.0,NaN,59.8,NaN,NaN,0.11,0.13,NaN,0.02,NaN,NaN,NaN,1.45,0.18,NaN
WHFo4jGezLo7eTAx6,Cannatonic #4 Oil,Concentrate,2015-09-02,2015-08-27,49,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.05,0.0,0.0,0.31,0.07,0.0,0.0,0.19,0.0,0.0,0.0,0.01,0.0,0.0,NaN,5.3,NaN,NaN,0.0,0.1,NaN,47.4,NaN,NaN,NaN,0.29,1.61,NaN
WMaFtMJ5fMvhYruCv,CBD Critical Mass #4 LR,Concentrate,2018-05-04,2018-05-04,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.09,0.0,0.0,0.0,0.14,0.0,0.23,0.0,0.1,0.0,0.14,0.39,0.06,0.26,1.08,0.12,0.07,0.59,0.05,0.08,NaN,1.55,0.01,34.68,0.01,0.01,47.46,1.17,NaN,NaN,3.99,0.01,0.01,NaN
WMmXvLxvrnrMA48Df,011618-08 SLH SCE,Concentrate,2018-04-10,2018-04-10,NaN,0.0,0.0,NaN,NaN,NaN,0.31,0.14,0.0,0.12,0.0,0.0,0.0,0.28,0.0,6.49,0.0,0.49,0.65,0.46,1.08,1.63,3.07,0.36,0.85,0.27,0.08,NaN,11.78,0.01,44.94,0.01,0.01,1.16,0.01,NaN,NaN,14.69,1.73,0.03,NaN
WMmXvLxvrnrMA48Df,011618-08 SLH SCE,Concentrate,2018-04-10,2018-04-10,NaN,0.0,0.0,NaN,NaN,NaN,0.31,0.14,0.0,0.12,0.0,0.0,0.0,0.28,0.0,6.49,0.0,0.49,0.65,0.46,1.08,1.63,3.07,0.36,0.85,0.27,0.08,NaN,11.78,0.01,44.94,0.01,0.01,1.16,0.01,NaN,NaN,14.69,1.73,0.03,NaN
WPEii8vdpotvJonve,Tahoe OG-LRB,Concentrate,2017-06-12,2017-06-12,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.52,0.05,0.34,0.01,0.0,0.99,0.34,0.09,0.0,0.3,0.0,0.0,NaN,1.3,0.01,84.44,0.01,0.01,0.48,0.01,NaN,NaN,3.03,0.55,0.01,NaN
WPLm97cz6iQHxf3kQ,Blueberry Cookie Kush Live Resin,Concentrate,2016-04-28,2016-04-27,2,NaN,NaN,0.0,0.0,NaN,0.0,0.02,0.0,0.0,0.0,0.06,0.0,0.02,0.0,0.0,0.04,0.13,0.21,0.0,0.32,0.57,0.11,0.05,0.21,0.0,0.0,NaN,59.6,NaN,NaN,0.36,0.5,NaN,0.54,NaN,NaN,NaN,2.66,0.76,NaN
WQcbLR3uLq76d3Y7R,Skywalker Mendo,Concentrate,2017-01-18,2017-01-17,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.04,0.34,0.17,0.0,0.78,0.35,0.31,0.03,1.45,0.0,0.0,NaN,68.2,NaN,NaN,0.28,0.0,NaN,0.5,NaN,NaN,NaN,3.28,0.95,NaN
WRTeRfHQPPaudC939,Cannatonic #4,Concentrate,2016-01-28,2016-01-27,96,NaN,NaN,0.0,0.0,NaN,0.0,0.02,0.0,0.01,0.0,0.11,0.0,0.03,0.0,0.05,0.23,0.13,0.2,0.01,0.18,0.67,0.01,0.06,0.16,0.01,0.08,NaN,4.2,NaN,NaN,0.0,0.01,NaN,49.5,NaN,NaN,NaN,0.53,0.03,NaN
WTjc7xoTSMXy4fzNq,Blueberry Galaga Cured Cart,Concentrate,2017-10-16,2017-10-16,2,0.0,0.0,NaN,NaN,NaN,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.04,0.07,0.13,0.05,0.0,0.48,0.19,0.04,0.03,0.3,0.0,0.0,NaN,8.61,0.01,44.46,0.01,0.01,0.01,0.01,NaN,NaN,1.89,0.4,0.01,NaN
WTxnHqvPvQYsdyi8j,Red Monkey,Concentrate,2015-11-28,2015-11-24,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.02,0.02,0.09,0.11,0.01,0.2,0.58,0.0,0.05,0.56,0.0,0.0,NaN,65.5,NaN,NaN,0.21,0.25,NaN,0.05,NaN,NaN,NaN,0.35,1.07,NaN
WWcLCyGiTWhsJ428W,Yodas Headband - LRB,Concentrate,2016-01-27,2016-01-26,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.01,0.0,0.01,0.0,0.04,0.0,0.04,0.0,0.19,0.05,0.09,0.08,0.03,0.16,0.72,0.07,0.0,0.24,0.02,0.0,NaN,54.4,NaN,NaN,0.08,0.04,NaN,0.02,NaN,NaN,NaN,1.46,0.02,NaN
Wbq3Y8wMsaW9J2w7J,Warlock,Concentrate,2017-05-03,2017-05-02,29,NaN,NaN,0.0,0.0,NaN,0.0,0.04,0.0,0.0,0.0,0.05,0.0,0.13,0.0,0.0,0.06,0.0,1.0,0.0,0.12,0.11,0.0,0.26,0.2,0.0,0.0,72.9,2.8,NaN,NaN,0.0,0.0,0.54,0.1,NaN,NaN,3.61,0.48,0.0,NaN
WcpkyYpcFDG9HrMJi,Larry OG / Loyalty Extracts,Concentrate,2017-02-21,2017-02-17,31,NaN,NaN,0.0,0.0,NaN,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.02,0.0,0.09,0.29,0.0,0.35,0.17,0.0,0.17,0.9,0.0,0.0,NaN,61.8,NaN,NaN,0.27,0.47,NaN,0.49,NaN,NaN,NaN,3.7,0.42,NaN
WegjaS3YkPffYGsZe,Phantom Cookies - LR,Concentrate,2016-02-19,2016-02-18,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.08,0.0,0.0,0.0,0.1,0.0,1.2,0.0,0.07,0.08,0.29,0.24,0.01,0.64,0.67,0.03,0.12,1.29,0.01,0.0,NaN,57.7,NaN,NaN,0.1,0.03,NaN,0.02,NaN,NaN,NaN,2.35,0.12,NaN
WfzXKHfX8oeHo2hnw,Strawberry Banana LR,Concentrate,2018-05-04,2018-05-04,NaN,0.0,0.0,NaN,NaN,NaN,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.09,0.08,0.19,0.2,0.06,0.35,0.96,0.1,0.07,1.05,0.05,0.0,NaN,3.0,0.01,83.64,0.01,0.01,1.05,0.01,NaN,NaN,3.63,0.75,0.01,NaN
WiBbrkgGNJYmkgMhX,OG Chem V1 - LR,Concentrate,2016-03-25,2016-03-25,NaN,NaN,NaN,0.0,0.17,NaN,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.18,0.0,0.01,0.19,0.43,0.08,0.0,0.97,0.42,0.0,0.13,0.27,0.0,0.0,NaN,58.4,NaN,NaN,0.15,0.05,NaN,3.16,NaN,NaN,NaN,0.91,0.21,NaN
WiPWaAvTjE2Fod35X,Cheese - Nug Run,Concentrate,2016-07-19,2016-07-15,2,NaN,NaN,0.0,0.0,NaN,0.0,0.05,0.0,0.0,0.0,0.12,0.0,0.14,0.0,0.04,0.06,0.33,0.15,0.01,0.54,1.35,0.02,0.04,0.91,0.0,0.02,NaN,65.5,NaN,NaN,0.15,0.31,NaN,0.54,NaN,NaN,NaN,2.37,0.72,NaN
WicdjHTp8yt22PWmS,Hammerhead - LR,Concentrate,2017-05-10,2017-05-08,NaN,NaN,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.05,0.25,0.05,0.0,0.54,0.39,0.01,0.02,0.65,0.0,0.0,77.6,1.2,NaN,NaN,0.0,0.0,0.43,0.0,NaN,NaN,3.74,0.41,0.0,NaN
