Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,delta-9 CBG-A,delta-9 CBG,CBG-A,CBG,CBC,Moisture Content
,Cannaberry Farm- Willie B OG Sonoma County,"Flower, Inhalable",2017-11-14,,1,,,,,,0.0,0.007,0.005,0.0,0.003,0.0,0.0,0.073,0.0,0.003,0.0,0.096,0.027,0.0,0.237,0.437,,0.054,0.273,0.0,0.0,,,,,,,,,,,,,,
,Purple Pineapple,"Flower, Inhalable",2016-11-14,,149,,,,,,0.0,0.002,0.003,0.0,0.0,0.0,0.0,0.081,0.011,0.0,0.026,0.051,0.091,0.0,0.194,0.026,,0.066,0.304,0.0,0.0,,,,,,,,,,,,,,
,Big Sur Holy Weed,"Flower, Inhalable",2016-11-11,,152,,,,,,0.0,0.016,0.011,0.0,0.006,0.0,0.0,0.078,0.67,0.008,0.034,0.085,0.472,0.0,0.25,0.56,,0.236,0.586,0.0,0.0,,,,,,,,,,,,,,
,Big Sur Holly Weed,"Concentrate, Inhalable",2016-12-05,,152,,,,,,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.156,0.183,0.0,0.259,0.147,0.213,0.0,0.439,0.681,,0.158,0.38,0.0,0.0,,,,,,,,,,,,,,
,Dirty Girl Valley,"Flower, Inhalable",2016-12-05,,152,,,,,,0.041,0.002,0.016,0.005,0.002,0.071,0.014,0.022,0.01,1.037,0.04,0.119,0.067,0.03,0.399,0.775,,0.112,0.23,0.016,0.003,,,,,,,,,,,,,,
,Jingles/ Zone,"Flower, Inhalable",2016-12-28,,152,,,,,,0.0,0.004,0.006,0.004,0.001,0.035,0.0,0.033,0.0,0.003,0.018,0.028,0.136,0.0,0.082,0.414,,0.075,0.086,0.0,0.0,,,,,,,,,,,,,,
,Dirty Girl/ Jingles,"Flower, Inhalable",2016-12-28,,152,,,,,,0.014,0.001,0.008,0.0,0.0,0.124,0.0,0.007,0.003,0.289,0.056,0.067,0.05,0.003,0.241,0.18,,0.071,0.092,0.005,0.0,,,,,,,,,,,,,,
,Kushbutton,"Flower, Inhalable",2016-12-28,,152,,,,,,0.0,0.007,0.006,0.0,0.001,0.0,0.0,0.058,0.001,0.005,0.049,0.166,0.031,0.0,0.346,0.43,,0.057,0.263,0.0,0.0,,,,,,,,,,,,,,
,Big Sur Holy Weed Live Resin,"Concentrate, Inhalable",2017-02-13,,152,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.249,0.521,0.0,0.167,0.169,0.128,0.0,0.589,0.972,,0.131,0.653,0.0,0.0,,,,,,,,,,,,,,
,Big Sur Holy Weed,"Concentrate, Inhalable",2017-02-13,,152,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.077,0.0,0.3,0.227,0.483,0.0,0.786,0.366,,0.288,0.318,0.0,0.0,,,,,,,,,,,,,,
