Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
knGpRB25FJZbEbuzh,GMO,Concentrate,2018-01-24,2018-01-24,,0.0,0.0,,,,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.06,0.08,0.28,0.15,0.0,0.5,0.26,0.0,0.07,0.64,0.0,0.0,,0.78,0.01,79.48,0.01,0.01,0.01,0.01,,,2.09,0.22,0.34,
knKWeEaqC4ZzZFkd4,Strawberry,Concentrate,2017-07-15,2017-07-15,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,69.85,0.01,0.01,0.29,1.07,0.93,1.69,,,0.01,0.87,0.04,
kpQmTptn3Cd6KXiiQ,Purple Cat,Concentrate,2015-08-07,2015-08-09,49,,,0.0,0.0,,0.0,0.0,0.22,0.01,0.0,0.25,0.0,0.02,0.0,0.0,0.43,0.35,0.01,0.0,0.77,0.05,0.1,0.0,0.06,0.0,0.0,,30.7,,,0.06,0.11,,41.7,,,,0.51,0.56,
krQxAyHT6WvvCAk58,H2O (Hydrosol),Concentrate,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
krZMYEuJHHYYF4bX9,Pineapple Chunk Craft Cart,Concentrate,2018-01-11,2018-01-11,2,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.24,0.0,2.04,0.0,0.15,0.19,0.16,0.32,0.4,0.81,0.21,0.37,0.11,0.0,,50.17,0.0,17.21,0.28,0.14,0.0,0.0,,,8.12,1.41,1.45,
ksS7EFdxHD2b6xXEd,Durban Walker #3 LRB,Concentrate,2018-04-30,2018-04-30,,0.0,0.0,,,,0.0,0.06,0.0,0.04,0.0,0.05,0.0,0.15,0.0,1.59,0.0,0.09,0.16,0.16,0.1,0.46,0.39,0.04,0.51,0.1,0.03,,1.2,0.01,82.6,0.01,0.01,0.01,0.01,,,6.9,0.01,0.01,
ktBCv55PezJoaRNQX,Ghost Cookies Full Plant Sift Rosin,Concentrate,2017-03-07,2017-03-09,5,,,0.0,0.0,,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.05,0.39,0.19,0.0,0.75,0.22,0.0,0.07,1.04,0.0,0.0,,50.4,,,0.52,0.31,,0.44,,,,2.85,0.54,
ktoyAkNkBpYPFcMyL,1 Ambrosia Live Resin,Concentrate,2018-03-23,2018-03-23,2,0.0,0.0,,,,0.0,0.09,0.0,0.0,0.0,0.05,0.0,0.28,0.0,0.16,0.1,0.29,0.28,0.05,0.35,1.56,0.0,0.07,1.19,0.04,0.03,,1.48,0.01,79.47,0.01,0.01,9.46,0.01,,,1.81,0.43,0.01,
kwMAxXXYsKDxFwRTT,Kirkwood #1- LR,Concentrate,2017-07-15,2017-07-15,,0.0,0.0,,,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.03,0.05,0.15,0.0,0.21,0.58,0.04,0.04,0.99,0.0,0.0,,0.95,0.01,90.07,0.01,0.01,0.89,0.01,,,4.69,0.19,0.01,
kwtboDey3YkdGAFYn,Tahoe OG- LRB,Concentrate,2017-07-14,2017-07-14,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.06,0.05,0.28,0.0,0.0,0.81,0.04,0.0,0.0,0.07,0.0,0.0,,1.43,0.01,87.34,0.01,0.01,0.98,0.01,,,2.62,0.1,0.01,
ky3FAshxeRYqSxbwK,Fruit Punch Budder - LRB,Concentrate,2016-08-20,2016-08-22,,,,0.0,0.0,,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.07,0.0,0.08,0.12,0.0,0.16,0.33,0.03,0.06,0.95,0.0,0.0,,68.6,,,0.38,0.28,,0.44,,,,3.17,0.52,
m2g8AoN4tcko9CD2X,Leroy,Concentrate,2017-05-12,2017-05-16,12,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.05,0.04,0.07,0.0,0.0,0.28,0.1,0.0,0.0,0.2,0.0,0.0,76.2,6.3,,,0.0,0.0,0.0,0.0,,,2.86,0.49,0.07,
m2wKFkkvN59RTjWo5,SLH-041718,Concentrate,2018-04-25,2018-04-25,,0.0,0.0,,,,0.0,0.07,0.0,0.05,0.0,0.0,0.0,0.13,0.4,3.49,0.07,0.27,0.32,0.23,0.56,0.84,1.63,0.0,0.46,0.13,0.04,,49.38,0.01,21.27,0.33,0.21,0.01,1.5,,,6.85,2.23,2.66,
m6EG5uz9qQPofNYtX,Sour Mendo,Concentrate,2017-04-28,2017-05-02,2,,,0.0,0.0,,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,1.25,0.37,0.0,2.56,1.82,0.0,0.37,3.35,0.0,0.0,,31.8,,,0.18,0.34,,0.63,,,,4.61,1.14,
m973ASrxn9PHjG24k,Gorilla Glue #4 - TR,Concentrate,2016-08-09,2016-08-11,,,,0.0,0.0,,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.07,0.0,0.05,0.1,0.51,0.08,0.0,1.13,0.11,0.0,0.06,0.39,0.0,0.0,,64.9,,,0.35,0.3,,0.47,,,,2.33,0.6,
mBXBXhgGPcXHKrq3n,Strawberry Banana - LR,Concentrate,2016-09-20,2016-09-21,,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.32,0.03,0.24,0.1,0.0,0.47,0.7,0.09,0.05,0.66,0.0,0.0,,66.3,,,0.43,0.3,,0.45,,,,2.68,1.01,
mBZrSmNHkS3TCuCDD,Super Lemon Cookies-011918-LRB,Concentrate,2018-01-26,2018-01-26,,0.0,0.0,,,,0.11,0.09,0.0,0.0,0.0,0.07,0.0,0.18,0.0,1.9,0.0,0.17,0.39,0.17,0.17,0.39,0.82,0.1,0.58,0.12,0.04,,2.09,0.0,77.92,0.0,0.0,1.02,0.0,,,8.81,0.72,0.0,
mBj2cYAkEXJbkAQav,Money Monster - Nug Run,Concentrate,2016-07-15,2016-07-19,2,,,0.0,0.0,,0.0,0.04,0.0,0.0,0.0,0.02,0.0,0.04,0.0,0.08,0.03,0.24,0.39,0.01,0.47,1.32,0.1,0.02,0.26,0.0,0.01,,68.5,,,0.38,0.33,,0.59,,,,2.1,0.64,
mC92wqai3PYK9K4aJ,Strawberry Banana - LRB,Concentrate,2016-09-09,2016-09-09,,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.02,0.04,0.22,0.07,0.0,0.39,0.51,0.0,0.03,0.51,0.0,0.0,,60.1,,,0.45,0.23,,1.02,,,,2.93,1.03,
mDQHeeY8qRAM7Wzqm,Blue Cookies - TR,Concentrate,2016-01-19,2016-01-20,,,,0.0,0.0,,0.0,0.03,0.0,0.01,0.0,0.11,0.0,0.34,0.0,0.12,0.07,0.36,0.13,0.01,0.57,0.44,0.09,0.03,0.62,0.01,0.0,,38.3,,,0.13,0.05,,0.02,,,,0.47,0.14,
mDaeW4bboPgPwdZrk,Jack Berry Craft Cart,Concentrate,2018-04-27,2018-04-27,2,0.0,0.0,,,,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.23,0.0,3.49,0.0,0.19,0.22,0.23,0.32,2.86,1.88,0.28,0.83,0.18,0.07,,42.43,0.01,20.94,0.29,0.01,0.01,5.34,,,6.37,4.17,0.9,
mFMsw6Ya7qtrGcvZw,SFV OG - LR,Concentrate,2016-08-02,2016-08-04,,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.02,0.03,0.24,0.09,0.0,0.44,0.09,0.02,0.05,0.52,0.0,0.0,,66.4,,,0.31,0.26,,0.5,,,,3.54,0.61,
mGQXcjDTNyxSprbW5,Blueberry Headband (Nug Run),Concentrate,2016-02-12,2016-02-16,89,,,0.0,0.0,,0.0,0.06,0.0,0.01,0.0,0.0,0.0,0.55,0.0,0.04,0.12,0.5,0.3,0.0,0.89,0.18,0.11,0.07,1.04,0.01,0.0,,56.3,,,0.04,0.07,,0.02,,,,0.95,0.38,
mJeD7b2geGNkcyyXX,Alpine OG - LR,Concentrate,2016-07-02,2016-07-06,,,,0.0,0.0,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.46,0.16,0.0,0.9,0.25,0.0,0.02,0.83,0.0,0.0,,71.2,,,0.35,0.0,,0.51,,,,2.46,1.26,
mT9tNwF55LeJaE5Qt,Red Apple,Concentrate,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
mXoLXXikBRcWN6sbP,Josh D OG #7 LR,Concentrate,2018-04-30,2018-04-30,,0.0,0.0,,,,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.09,0.05,0.19,0.26,0.0,0.31,0.56,0.06,0.07,1.78,0.04,0.0,,0.86,0.01,86.55,0.01,0.01,0.88,0.01,,,2.99,0.01,0.01,
mYcKYKH6xEwD88rdK,Girl Scout Cookie - LR,Concentrate,2017-04-25,2017-04-27,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.2,0.03,0.07,0.27,0.0,0.3,1.16,0.18,0.02,0.38,0.0,0.0,,56.1,,,0.3,0.37,,0.41,,,,2.64,0.43,
mZNpDxsuazkWNr7rW,Deathstar - LRB,Concentrate,2016-05-31,2016-06-01,,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.09,0.0,0.2,0.0,0.1,0.06,0.31,0.12,0.0,0.59,0.86,0.03,0.06,0.85,0.0,0.0,,59.7,,,0.28,0.25,,0.5,,,,1.54,1.25,
mcGTCsRrdEYkA6QXi,Wedding Cake HCFSE,Concentrate,2017-06-06,2017-06-06,12,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.27,0.38,1.07,0.0,1.51,2.12,0.0,0.47,0.43,0.0,0.0,,4.03,0.01,88.74,0.01,0.01,0.01,0.01,,,1.76,0.43,0.01,
meejwK4Wb8qgXKd4x,CBD Critical Mass #5 LR,Concentrate,2018-05-07,2018-05-07,,0.0,0.0,,,,0.0,0.08,0.0,0.0,0.0,0.12,0.0,0.2,0.0,0.08,0.0,0.16,0.16,0.05,0.22,1.18,0.0,0.87,0.69,0.04,0.07,,1.03,0.01,32.16,0.01,0.01,47.3,0.9,,,4.11,0.43,0.01,
mfMGefj4jxSXWbfxN,Extreme Cream X GMO- LR,Concentrate,2017-08-31,2017-08-31,,0.0,0.0,,,,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.25,0.04,0.0,0.14,0.02,0.3,0.49,0.0,0.04,1.16,0.0,0.0,,1.25,0.01,79.28,0.01,0.01,3.26,1.74,,,4.08,0.13,0.01,
mgKc7WAmiCS5FyDDX,A126,Concentrate,2017-10-26,2017-10-26,70,0.0,0.0,,,,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.09,0.14,1.19,0.56,0.02,2.4,1.13,0.13,0.23,2.97,0.0,0.0,,8.59,0.01,49.09,0.01,0.08,0.66,0.01,,,1.86,0.18,0.47,
min5v8Xo44LLyTc7K,G3-168,Concentrate,2017-04-29,2017-05-01,6,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.08,0.46,0.1,0.0,1.23,0.21,0.0,0.04,0.62,0.0,0.0,,43.9,,,0.17,0.19,,0.61,,,,1.89,0.34,
mkhHf6BLjEeZ2Htnj,PSC - A - CRB,Concentrate,2016-09-13,2016-09-15,,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.3,0.03,0.39,0.09,0.0,0.62,0.13,0.13,0.06,0.54,0.0,0.0,,66.9,,,2.26,0.36,,0.44,,,,2.64,0.8,
mmMb7WqRwEBxEheAg,Lemon Creamsicle V1 -LR,Concentrate,2016-03-25,2016-03-25,,,,0.0,0.17,,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.18,0.0,0.01,0.19,0.43,0.08,0.0,0.97,0.42,0.0,0.13,0.27,0.0,0.0,,59.4,,,0.16,0.06,,2.99,,,,3.53,0.3,
mn8vWPPkJbkjbFjKA,Strawberry OG HTFSE,Concentrate,2017-08-10,2017-08-10,2,0.0,0.0,,,,0.0,0.14,0.0,0.0,0.0,0.0,0.0,1.57,0.0,0.67,0.32,0.0,0.24,0.04,1.64,4.22,0.0,0.33,2.44,0.0,0.0,,7.49,0.01,34.32,0.01,0.42,1.21,0.01,,,1.88,0.01,0.37,
moRAeQCK8P44XiamE,Rude Boy x Dan OG  Live Resin,Concentrate,2017-04-05,2017-04-06,70,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.13,0.06,0.0,0.61,0.64,0.0,0.03,0.83,0.0,0.0,,64.3,,,0.25,0.24,,0.38,,,,2.13,0.46,
mojAzazLstmxKGodx,Blueberry Kosher Cake - LR,Concentrate,2016-11-01,2016-11-02,,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.27,0.0,0.33,0.05,0.22,0.31,0.0,0.47,0.71,0.17,0.0,0.69,0.0,0.0,,70.4,,,0.52,0.32,,0.43,,,,3.89,0.97,
mpnxfu5PYQF4CvvLK,Viper Cookie - TR,Concentrate,2016-09-01,2016-09-03,,,,0.0,0.0,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.03,0.08,0.71,0.17,0.0,1.32,0.26,0.01,0.09,0.84,0.0,0.0,,65.4,,,0.43,0.41,,0.81,,,,3.07,1.5,
mquK77Y3PXceaCb6G,GTH x HTFSE,Concentrate,2016-09-26,2016-09-27,35,,,0.0,0.0,,0.05,0.03,0.0,0.05,0.0,0.0,0.0,0.01,0.0,2.03,0.08,0.87,0.19,0.25,1.88,0.15,0.2,0.12,0.36,0.28,0.03,,51.4,,,0.41,0.68,,0.68,,,,3.41,3.48,
mrD9hFruegGDmncGT,Animal Cookies -LR,Concentrate,2017-07-29,2017-07-29,,0.0,0.0,,,,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.05,0.05,0.34,0.14,0.01,0.92,0.33,0.05,0.07,1.18,0.0,0.0,,1.56,0.01,84.0,0.01,0.01,1.02,0.01,,,3.85,0.01,0.04,
muLxrd8a8R34yooqD,Super Lemon Haze - LRB,Concentrate,2017-05-04,2017-05-06,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.15,0.04,0.08,0.03,0.0,0.24,1.03,0.01,0.01,0.36,0.0,0.0,77.0,1.4,,,0.0,0.0,0.48,0.0,,,3.35,0.88,0.0,
muTK4yCu34BrvKToA,Sour Skywalker,Concentrate,2017-01-17,2017-01-18,,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.06,0.41,0.15,0.0,0.83,0.56,0.19,0.01,1.31,0.0,0.0,,70.1,,,0.24,0.27,,0.42,,,,3.23,0.81,
mvwzNHxqvPHHPKfzm,Grease Monkey - LR,Concentrate,2016-11-01,2016-11-02,,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.02,0.05,0.38,0.13,0.0,0.84,0.2,0.0,0.0,1.09,0.0,0.0,,69.0,,,0.29,0.4,,0.46,,,,2.81,0.86,
mwLLaM8x7y9qqdwsS,Head Band Live Resin,Concentrate,2016-09-29,2016-09-29,2,,,0.0,0.0,,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.06,0.05,0.31,0.18,0.0,0.55,1.22,0.03,0.1,1.17,0.0,0.0,,65.2,,,0.38,0.25,,0.39,,,,3.35,0.49,
mya2e3Y3LsgoSpd5L,Super Silver Haze - Live Resin,Concentrate,2016-07-05,2016-07-07,2,,,0.0,0.0,,0.03,0.01,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.74,0.0,0.18,0.09,0.09,0.32,0.1,0.12,0.0,0.13,0.05,0.01,,71.9,,,0.41,0.23,,0.51,,,,4.04,0.71,
n2MZ54JauLFco7pSB,91 Double Underdog,Concentrate,2016-08-27,2016-08-29,,,,0.0,0.0,,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.03,0.02,0.32,0.15,0.0,0.53,0.23,0.02,0.06,0.94,0.0,0.0,,72.9,,,0.4,0.26,,0.52,,,,4.21,0.65,
n3Kh2vWzPChMzFPXT,Northern Lights Live Resin,Concentrate,2017-03-20,2017-03-22,2,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.13,0.0,0.11,0.07,0.11,0.0,0.0,0.32,0.42,0.05,0.0,0.15,0.0,0.0,,66.4,,,0.41,0.24,,0.46,,,,2.62,0.86,
n65gJJ6Z79SGqdHao,Sour Mendo,Concentrate,2017-01-17,2017-01-18,,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.05,0.37,0.11,0.0,0.74,0.45,0.0,0.02,1.09,0.0,0.0,,69.3,,,0.24,0.22,,0.39,,,,3.14,0.58,
n74dudSpAkPTmzbhE,OG Chem V2 - LR,Concentrate,2016-03-25,2016-03-25,,,,0.0,0.17,,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.18,0.0,0.01,0.19,0.43,0.08,0.0,0.97,0.42,0.0,0.13,0.27,0.0,0.0,,61.0,,,0.15,0.05,,3.16,,,,0.84,0.22,
n8kZ5sMx5GtQjGsnr,Fruit Punch - LR,Concentrate,2016-02-23,2016-02-24,,,,0.0,0.0,,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.03,0.03,0.31,0.18,0.01,0.61,0.18,0.01,0.11,1.16,0.01,0.0,,58.0,,,0.09,0.08,,0.02,,,,1.69,0.09,
n9DvXy3AZX7oiqJkj,Flo OG,Concentrate,2016-08-05,2016-08-05,80,,,0.0,0.0,,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.05,0.05,0.2,0.25,0.0,0.37,0.18,0.03,0.11,0.66,0.0,0.0,,63.7,,,0.33,0.61,,0.54,,,,2.96,0.59,
nAmidADKM2G7Hf5EL,Tangerine Distillate,Concentrate,2016-07-02,2016-07-06,20,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.05,0.0,0.0,2.61,0.0,0.0,,82.7,,,0.28,1.62,,7.49,,,,3.34,1.6,
nB3AckGMuDexntnjo,Moxie Super Goji Haze,Concentrate,2017-03-14,2017-03-15,5,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.63,0.03,0.14,0.14,0.04,0.4,0.68,0.09,0.05,0.47,0.02,0.0,,58.3,,,0.4,0.38,,0.47,,,,5.22,0.52,
nCkpdCJqwSLrgzJgm,PB Batter,Concentrate,2017-02-02,2017-02-04,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.03,0.18,0.1,0.0,0.37,1.15,0.06,0.02,0.72,0.0,0.0,,56.5,,,0.28,0.21,,0.42,,,,3.08,1.56,
nCsQukesbGJ9FZMYB,Lemon OG Terp Sugar,Concentrate,2017-03-23,2017-03-25,37,,,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.02,0.05,0.14,0.12,0.0,0.4,0.29,0.0,0.0,0.6,0.0,0.0,,54.9,,,0.29,0.21,,0.39,,,,2.02,0.3,
nDGJNkNAMQTGfZkKA,Skywalker Live Resin,Concentrate,2018-01-31,2018-01-31,2,0.0,0.0,,,,0.08,0.07,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.85,0.09,0.23,0.14,0.09,0.45,0.56,0.26,0.08,0.54,0.06,0.0,,2.64,0.0,88.55,0.0,0.0,0.0,0.0,,,1.58,0.46,0.0,
nEMJSHLQooQisoiL2,Blueberry,Concentrate,2017-07-20,2017-07-20,109,0.0,0.0,,,,0.0,0.06,0.0,0.03,0.0,0.16,0.0,0.2,0.0,0.69,0.1,0.17,0.24,0.09,0.59,0.09,0.07,0.22,0.21,0.07,0.0,,5.39,0.01,77.19,0.01,0.17,1.06,0.01,,,3.68,0.01,0.01,
nJBjMEr9xtuCQ3Asd,OG 18,Concentrate,2015-12-03,2015-12-04,,,,0.0,0.0,,0.0,0.06,0.0,0.01,0.0,0.0,0.0,0.36,0.0,0.05,0.02,0.17,0.3,0.01,0.45,0.63,0.05,0.1,0.72,0.01,0.0,,57.7,,,0.22,0.18,,0.04,,,,1.79,0.42,
nKH2dtjcio6JauNWH,Wifi OG,Concentrate,2018-04-12,2018-04-12,101,0.0,0.0,,,,0.0,0.09,0.0,0.0,0.0,0.06,0.0,0.37,0.0,0.07,0.14,0.25,0.19,0.0,0.77,0.77,0.0,0.29,1.51,0.0,0.0,,81.5,0.01,0.01,1.0,2.14,0.01,0.01,,,0.01,3.3,1.67,
nKH2dtjcio6JauNWH,Wifi OG,Concentrate,2018-04-12,2018-04-12,101,0.0,0.0,,,,0.0,0.09,0.0,0.0,0.0,0.06,0.0,0.37,0.0,0.07,0.14,0.25,0.19,0.0,0.77,0.77,0.0,0.29,1.51,0.0,0.0,,81.5,0.01,0.01,1.0,2.14,0.01,0.01,,,0.01,3.3,1.67,
nKNNffKNx8dGEpSqb,Goji -LRB,Concentrate,2017-11-07,2017-11-07,,0.0,0.0,,,,0.0,0.09,0.0,0.0,0.0,0.1,0.0,0.37,0.0,0.29,0.07,0.07,0.23,0.02,0.25,0.51,0.16,0.06,1.98,0.0,0.0,,1.51,0.01,86.62,0.01,0.01,0.71,0.01,,,2.85,0.01,0.14,
nM5khmxazYL9NEgox,ASO919GWax,Concentrate,2016-09-21,2016-09-22,12,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.07,0.0,0.0,0.04,0.22,0.07,0.0,0.47,0.04,0.0,0.03,0.19,0.0,0.0,,68.3,,,0.44,0.45,,0.58,,,,1.69,0.64,
nSwhfdJN7nRyNWmja,Pure OG - LR,Concentrate,2017-05-22,2017-05-25,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.05,0.28,0.06,0.0,0.66,0.33,0.0,0.0,0.53,0.0,0.0,77.8,1.8,,,0.0,0.0,0.0,0.0,,,5.42,0.55,0.0,
nWfEZcp7H3R5idHhz,Meat Breath #2 - LRB,Concentrate,2017-06-19,2017-06-19,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.03,0.08,0.02,0.0,0.29,0.05,0.0,0.0,0.22,0.0,0.0,,0.96,0.01,83.2,0.01,0.01,0.54,0.01,,,5.48,0.57,0.01,
naqDp6zxawX4cKAWD,2,Concentrate,2018-06-13,2018-06-13,88,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.66,0.05,0.0,0.0,0.0,0.0,0.03,,5.91,58.97,0.01,2.58,1.07,0.01,2.86,,,0.01,1.15,0.85,
nck8x2iHpKFMxhrZK,ASD0319Wax A,Concentrate,2018-03-22,2018-03-22,12,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.08,0.0,0.0,0.0,0.16,0.04,0.0,0.37,0.04,0.0,0.04,0.04,0.0,0.0,,80.61,0.01,0.79,0.54,0.32,0.77,1.18,,,0.27,0.87,0.86,
neZDfWKExnnsfzWGe,Candyland Strawberry,Concentrate,2016-07-15,2016-07-16,80,,,0.0,0.0,,0.0,0.0,0.0,0.01,0.0,0.2,0.0,0.0,0.0,0.0,0.28,0.14,0.01,0.0,0.37,0.13,0.0,0.0,0.04,0.0,0.04,,2.6,,,0.0,0.39,,19.22,,,,0.46,0.86,
ngKvYMJE8ub3A7Mmo,Fire Department,Concentrate,2017-04-24,2017-04-26,34,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.04,0.46,0.15,0.0,0.92,0.3,0.0,0.04,0.81,0.0,0.0,,59.6,,,0.34,0.25,,0.55,,,,2.22,0.77,
nhoyWq7Fwo9YvAW2R,Bruce Banner,Concentrate,2015-11-24,2015-11-28,,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.19,0.0,0.28,0.0,0.01,0.04,0.28,0.08,0.0,0.77,0.66,0.0,0.08,0.62,0.0,0.0,,56.2,,,0.18,0.1,,0.04,,,,1.23,0.29,
nhytiLpiyGMYZRYSX,LSD - LRB,Concentrate,2016-01-26,2016-01-27,,,,0.0,0.0,,0.0,0.07,0.0,0.0,0.0,0.04,0.0,0.03,0.0,0.06,0.04,0.08,0.29,0.01,0.21,0.22,0.15,0.03,1.07,0.01,0.0,,52.1,,,0.12,0.04,,0.02,,,,2.85,0.03,
njQqSs8cKQb3na5mM,C4 - LR,Concentrate,2016-05-31,2016-06-01,,,,0.0,0.0,,0.0,0.04,0.0,0.0,0.0,0.19,0.0,0.19,0.0,0.05,0.13,0.09,0.5,0.0,0.21,2.26,0.12,0.11,0.41,0.0,0.12,,9.2,,,0.0,0.68,,44.6,,,,0.67,1.73,
nkCWhztGWP6RGfLYt,Charlie Sheen O.G. - CRB,Concentrate,2016-01-19,2016-01-20,,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.14,0.02,0.16,0.12,0.01,0.27,0.25,0.03,0.03,0.29,0.0,0.0,,53.7,,,0.2,0.07,,0.03,,,,1.56,0.23,
nnPQPx242g42jnuhr,Kosher Kush Rosin,Concentrate,2017-03-24,2017-03-28,12,,,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.05,0.13,0.15,0.0,0.47,2.02,0.0,0.2,1.5,0.0,0.0,,63.5,,,0.46,0.25,,0.51,,,,2.17,0.93,
noj7Tbh8tEDZQg4hv,Exodus Tahoe x Blue Dream Live Resin,Concentrate,2017-03-15,2017-03-17,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.04,0.0,0.09,0.21,0.0,0.0,0.4,0.0,0.0,0.0,0.04,0.0,0.0,,60.3,,,0.27,0.27,,0.6,,,,2.01,0.47,
