Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
3SSHEpEwjfzfEmhKF,Rugburn OG HTFSE,Concentrate,2017-11-30,2017-11-30,14,0.0,0.0,,,,0.0,0.09,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.04,0.31,0.2,0.18,0.0,0.64,0.28,0.02,0.11,0.52,0.0,0.0,,23.72,0.01,52.58,0.01,0.01,0.79,0.01,,,1.26,0.7,0.25,
3TdRfX9ZuFfsArJvf,ASD021GWax,Concentrate,2018-02-24,2018-02-24,12,0.0,0.0,,,,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.23,0.0,0.0,0.12,0.38,0.08,0.0,0.86,0.08,0.0,0.07,0.11,0.0,0.0,,79.82,0.01,0.34,0.43,0.21,0.01,0.01,,,0.01,1.43,1.93,
3aPpdfuSCeepezeRq,Garlic Chem- LR,Concentrate,2017-05-02,2017-05-03,,,,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.02,0.04,0.39,0.09,0.0,0.72,0.58,0.0,0.04,0.54,0.0,0.0,78.2,1.8,,,0.0,0.0,0.37,0.0,,,0.0,0.16,2.19,
3azDRvG3pfxLmgEQA,Northern Lights Craft Cart,Concentrate,2018-03-05,2018-03-05,2,0.0,0.0,,,,0.05,0.07,0.0,0.0,0.0,0.23,0.0,0.23,0.0,0.2,0.14,0.34,0.41,0.06,0.37,3.42,0.28,0.28,0.68,0.05,0.0,,51.04,0.01,15.81,0.43,0.13,1.02,0.01,,,1.79,1.72,1.9,
3gJMjxi4Y9fiFSM7G,Sour O.G. - LR,Concentrate,2016-02-18,2016-02-19,,,,0.0,0.0,,0.0,0.07,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.1,0.05,0.63,0.21,0.01,1.11,0.67,0.04,0.13,1.24,0.01,0.0,,52.0,,,0.07,0.01,,0.03,,,,1.47,0.14,
3gR2QiZpaMfHG4G6g,Octane OG - TR,Concentrate,2016-08-24,2016-08-25,,,,0.0,0.0,,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.06,0.0,0.02,0.04,0.47,0.12,0.0,0.94,0.51,0.0,0.01,0.53,0.0,0.0,,61.3,,,0.32,0.32,,0.42,,,,1.73,0.48,
3gpCiw57qx2W8cg9M,Purple Painkiller THCA,Concentrate,2017-05-10,2017-05-12,15,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.02,0.0,0.0,92.4,2.9,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,
3iJeoCP9dp3kJMKvS,Billet 4/S1,Concentrate,2016-01-15,2016-01-17,16,,,0.0,0.0,,0.0,0.01,0.04,0.01,0.0,0.01,0.0,0.14,0.0,0.0,0.08,0.33,0.06,0.0,0.84,0.25,0.0,0.05,0.18,0.0,0.0,,76.5,,,0.32,0.32,,0.24,,,,1.2,0.5,
3iXzJLgmo9AQDqWPs,Gorilla Glue #4,Concentrate,2017-03-23,2017-03-24,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.05,0.14,0.01,0.0,0.39,0.03,0.0,0.0,0.22,0.0,0.0,,52.7,,,0.31,0.23,,2.63,,,,1.85,0.42,
3mXwEBY3NWr7BKyZK,Q.K.,Concentrate,2016-10-15,2016-10-18,12,,,0.0,0.0,,0.0,0.05,0.0,0.0,0.0,0.08,0.0,0.14,0.0,0.03,0.07,0.71,0.22,0.0,1.14,0.3,0.32,0.05,1.33,0.0,0.0,,59.6,,,3.94,0.43,,0.52,,,,3.29,1.06,
